borough,cuisine,name,rating,reduced_cuisine
Manhattan,Social Clubs,Fly Private Social,4.8,Other
Manhattan,Pizza,Rome To Brooklyn Pizza,4.8,European
Manhattan,Italian,Rome To Brooklyn Pizza,4.8,European
Manhattan,Korean,Grandma's Bapsang,4.8,Asian
Manhattan,Noodles,Grandma's Bapsang,4.8,Asian
Manhattan,Delis,Victoria Deli,4.8,Sandwiches
Manhattan,Fast Food,Victoria Deli,4.8,Fast Food
Manhattan,Coffee & Tea,Starbucks,4.8,Cafe & Drinks
Manhattan,Breakfast & Brunch,Starbucks,4.8,American
Manhattan,Bagels,Starbucks,4.8,Other
Manhattan,Coffee & Tea,Aroma Coffee Shop,4.8,Cafe & Drinks
Manhattan,Bagels,Aroma Coffee Shop,4.8,Other
Manhattan,Sandwiches,Aroma Coffee Shop,4.8,Sandwiches
Manhattan,Chinese,A-Roll Grill Chicken Feet,4.8,Asian
Manhattan,Kebab,A-Roll Grill Chicken Feet,4.8,Other
Manhattan,Tapas/Small Plates,A-Roll Grill Chicken Feet,4.8,European
Manhattan,American,New Carrizal,4.8,American
Manhattan,Bars,New Carrizal,4.8,Bars & Nightlife
Manhattan,Butcher,Pampita Meat Shop,4.8,Other
Manhattan,Meat Shops,Pampita Meat Shop,4.8,Other
Manhattan,Argentine,Pampita Meat Shop,4.8,Latin American
Manhattan,Middle Eastern,Shawarma Bay,4.8,Other
Manhattan,Food Trucks,Shawarma Bay,4.8,Street Food
Manhattan,Halal,Shawarma Bay,4.8,Middle Eastern & Mediterranean
Manhattan,New Mexican Cuisine,Las Chilangas,4.8,Other
Manhattan,Mexican,Las Chilangas,4.8,Latin American
Manhattan,Caterers,L & M Italian Deli And Catering,4.8,Other
Manhattan,Delis,L & M Italian Deli And Catering,4.8,Sandwiches
Manhattan,Coffee & Tea,Black Milk Coffee and Crepe,4.8,Cafe & Drinks
Manhattan,Creperies,Black Milk Coffee and Crepe,4.8,Desserts & Sweets
Manhattan,Cafes,Black Milk Coffee and Crepe,4.8,Cafe & Drinks
Manhattan,Japanese,Omakase By Korami,4.8,Asian
Manhattan,Sushi Bars,Omakase By Korami,4.8,Asian
Manhattan,Colombian,Parador Caleno,4.8,Latin American
Manhattan,Cocktail Bars,Perico Speakeasy,4.8,Bars & Nightlife
Manhattan,Latin American,Perico Speakeasy,4.8,Latin American
Manhattan,Speakeasies,Perico Speakeasy,4.8,Bars & Nightlife
